n_topic,seed_a,seed_b,iter_a,iter_b,passes_a,passes_b,mean,median,min,max,std,mad,corpus
10,32,32,50,100,1,1,0.6969124030360500,0.7421383647798740,0.1132075471698110,0.9130434782608700,0.18896027733563100,0.0893367981019093,5
10,33,33,50,100,1,1,0.6586566091531970,0.7096774193548390,0.07692307692307690,0.8700564971751410,0.175032081400717,0.07129312762973340,5
10,34,34,50,100,1,1,0.6658668398692020,0.6970545794075210,0.1132075471698110,0.8700564971751410,0.1797507590139280,0.08770186335403720,5
10,35,35,50,100,1,1,0.6811352808980700,0.7261146496815290,0.07692307692307690,0.8764044943820230,0.17612012871015100,0.06212705330204500,5
10,36,36,50,100,1,1,0.659700354224136,0.7012987012987010,0.07692307692307690,0.8700564971751410,0.177769834492259,0.07220454545454540,5
10,37,37,50,100,1,1,0.6907778606949700,0.7421383647798740,0.058252427184466000,0.8888888888888890,0.19234825222426700,0.07864060013639460,5
10,38,38,50,100,1,1,0.67491061696614,0.7261146496815290,0.058252427184466000,0.8636363636363640,0.18304533883156300,0.05383442265795210,5
10,39,39,50,100,1,1,0.7077349904837660,0.7654320987654320,0.07692307692307690,0.88268156424581,0.18913585732354400,0.05480150809492120,5
10,40,40,50,100,1,1,0.6976713272769810,0.75,0.07692307692307690,0.8764044943820230,0.18027075186776000,0.047519230769230800,5
10,41,41,50,100,1,1,0.6671139220824390,0.70548806032677,0.1132075471698110,0.88268156424581,0.17720408845280200,0.07750427132474810,5
10,42,42,50,100,1,1,0.7011705677334690,0.7577639751552800,0.09523809523809520,0.9130434782608700,0.18958003404233000,0.06873169789453350,5
10,43,43,50,100,1,1,0.6797922638917320,0.7220316838151230,0.07692307692307690,0.9010989010989010,0.1836879309815230,0.06434545520532790,5
10,44,44,50,100,1,1,0.6928669591611340,0.7421383647798740,0.09523809523809520,0.8888888888888890,0.193040352885451,0.0893367981019093,5
10,45,45,50,100,1,1,0.68395177247843,0.7381577899848740,0.09523809523809520,0.8950276243093920,0.18914484358272500,0.09290134870309720,5
10,46,46,50,100,1,1,0.6844778394917320,0.7301459324357010,0.09523809523809520,0.8505747126436780,0.18610315152017400,0.08102296870069370,5
10,47,47,50,100,1,1,0.6741092012869340,0.717948717948718,0.07692307692307690,0.8764044943820230,0.17748809448995700,0.06293937850229240,5
10,48,48,50,100,1,1,0.680065806227345,0.717948717948718,0.039215686274509800,0.9130434782608700,0.1863189566288180,0.07882944785276070,5
10,49,49,50,100,1,1,0.6799216764047110,0.7460691823899370,0.09523809523809520,0.8700564971751410,0.18665907501157300,0.07281276994771540,5
10,50,50,200,400,1,1,0.7012428333370110,0.7692191168673790,0.01980198019801980,0.9130434782608700,0.21765211994143100,0.08949858517260900,5
10,51,51,200,400,1,1,0.6843106330451910,0.7421383647798740,0.039215686274509800,0.9130434782608700,0.20316473635700000,0.0704741532976827,5
10,52,52,200,400,1,1,0.6840393521725640,0.7421383647798740,0.039215686274509800,0.9010989010989010,0.2172460751125760,0.07864060013639460,5
10,53,53,200,400,1,1,0.6934134786274420,0.7421383647798740,0.01980198019801980,0.907103825136612,0.2166522873503870,0.09990566037735840,5
10,54,54,200,400,1,1,0.6684987471670640,0.717948717948718,0.0,0.8888888888888890,0.20277605288926200,0.10274428274428300,5
10,55,55,200,400,1,1,0.6843511850857530,0.7261146496815290,0.058252427184466000,0.8571428571428570,0.19735288852774000,0.06952131608768700,5
10,56,56,200,400,1,1,0.702528279068456,0.7538819875776400,0.039215686274509800,0.9247311827956990,0.2150599146702400,0.10327708978328200,5
10,57,57,200,400,1,1,0.7017059226527690,0.7577639751552800,0.01980198019801980,0.8764044943820230,0.2122751680182470,0.07401612903225800,5
10,58,58,200,400,1,1,0.6912025936460870,0.7421383647798740,0.039215686274509800,0.8764044943820230,0.2068519241738860,0.08761030570438070,5
10,59,59,200,400,1,1,0.6771289188826040,0.7261146496815290,0.058252427184466000,0.9130434782608700,0.2003594475195800,0.060209551656920100,5
10,60,60,200,400,1,1,0.6937461988047300,0.7577639751552800,0.039215686274509800,0.8888888888888890,0.20742595483121300,0.09174150133426150,5
10,61,61,200,400,1,1,0.6880915303589550,0.7577639751552800,0.058252427184466000,0.907103825136612,0.20749968426491500,0.08022727272727270,5
10,62,62,200,400,1,1,0.6676108277144020,0.7261146496815290,0.058252427184466000,0.8700564971751410,0.2003797403689370,0.08061363989436070,5
10,63,63,200,400,1,1,0.6879317130180320,0.7381577899848740,0.01980198019801980,0.907103825136612,0.2125008611914320,0.09290134870309720,5
10,64,64,200,400,1,1,0.6906336235305190,0.7421383647798740,0.039215686274509800,0.8888888888888890,0.2052037653362180,0.06781475128644930,5
10,65,65,200,400,1,1,0.6618297330086050,0.7012987012987010,0.058252427184466000,0.8950276243093920,0.20125004464826800,0.08939979505196900,5
10,66,66,200,400,1,1,0.6811631197257800,0.7577639751552800,0.039215686274509800,0.88268156424581,0.21368662666986100,0.0837154150197628,5
