n_topic,seed_a,seed_b,iter_a,iter_b,passes_a,passes_b,mean,median,min,max,std,mad,corpus
10,186,187,50,100,1,2,0.525857627,0.529411765,0.42519685,0.648648649,0.048447918,0.049179567,5
10,188,189,50,100,1,2,0.525375509,0.529411765,0.4,0.657718121,0.053870389,0.049179567,5
10,190,191,50,100,1,2,0.500879218,0.496240602,0.37398374,0.601398601,0.048163135,0.049179567,5
10,192,193,50,100,1,2,0.497952956,0.496240602,0.387096774,0.591549296,0.044709487,0.049179567,5
10,194,195,50,100,1,2,0.51595264,0.512990603,0.4,0.630136986,0.050199423,0.041723504,5
10,196,197,50,100,1,2,0.510522621,0.507462687,0.4,0.657718121,0.054900168,0.064140169,5
10,198,199,50,100,1,2,0.510804138,0.507462687,0.37398374,0.630136986,0.046188748,0.048456259,5
10,200,201,50,100,2,3,0.548894756,0.545435312,0.4375,0.709677419,0.0550902,0.053558884,5
10,202,203,50,100,2,3,0.535933927,0.529411765,0.37398374,0.666666667,0.060874031,0.055736842,5
10,204,205,50,100,2,3,0.567450747,0.561151079,0.42519685,0.692810458,0.060267254,0.074070743,5
10,206,207,50,100,2,3,0.547221211,0.540145985,0.42519685,0.709677419,0.057970457,0.061400839,5
10,208,209,50,100,2,3,0.540434544,0.529411765,0.37398374,0.684210526,0.056114855,0.055736842,5
10,210,211,50,100,2,3,0.539946234,0.540145985,0.4,0.684210526,0.051109231,0.046379562,5
10,212,213,50,100,2,3,0.560105006,0.561151079,0.4375,0.72611465,0.064216444,0.079598411,5
10,214,215,50,100,2,3,0.543938072,0.550724638,0.319327731,0.666666667,0.059397382,0.060526638,5
10,216,217,50,100,2,3,0.547644016,0.540145985,0.4,0.717948718,0.064017319,0.065094122,5
10,218,219,50,100,2,3,0.562333332,0.566289825,0.412698413,0.75,0.057368103,0.052052271,5
10,220,221,50,100,2,3,0.541071427,0.540145985,0.42519685,0.684210526,0.055801838,0.048456259,5
10,222,223,50,100,2,3,0.539929421,0.540145985,0.412698413,0.675496689,0.048565218,0.048456259,5
10,224,225,50,100,2,3,0.559396393,0.550724638,0.42519685,0.757763975,0.061271751,0.047748792,5
10,226,227,50,100,2,3,0.53939401,0.529411765,0.42519685,0.692810458,0.063113261,0.066069519,5
10,228,229,50,100,2,3,0.534952355,0.529411765,0.387096774,0.684210526,0.053776417,0.049179567,5
10,230,231,50,100,2,3,0.530993435,0.529411765,0.387096774,0.657718121,0.058198677,0.064181818,5
10,232,233,50,100,2,3,0.560151333,0.561151079,0.412698413,0.709677419,0.061654595,0.061439005,5
10,234,235,50,100,2,3,0.57344641,0.571428571,0.449612403,0.75,0.060869166,0.058833333,5
10,236,237,50,100,2,3,0.569384457,0.571428571,0.4375,0.717948718,0.057828926,0.052606448,5
10,238,239,50,100,2,3,0.562609509,0.561151079,0.412698413,0.742138365,0.061478908,0.047056708,5
10,240,241,50,100,2,3,0.551587503,0.550724638,0.42519685,0.734177215,0.055749656,0.060526638,5
10,242,243,50,100,2,3,0.542491274,0.550724638,0.412698413,0.692810458,0.058115787,0.047748792,5
10,244,245,50,100,2,3,0.579835918,0.571428571,0.4375,0.734177215,0.065405427,0.062294118,5
10,246,247,50,100,2,3,0.516755175,0.529411765,0.387096774,0.620689655,0.04979144,0.047056708,5
10,248,249,50,100,2,3,0.528106599,0.529411765,0.387096774,0.657718121,0.053702737,0.049179567,5
10,250,251,50,100,2,3,0.552856789,0.550724638,0.412698413,0.734177215,0.064361613,0.060526638,5
10,252,253,50,100,2,3,0.546310245,0.540145985,0.37398374,0.684210526,0.059116961,0.061400839,5
10,254,255,50,100,2,3,0.556849784,0.561151079,0.37398374,0.742138365,0.06316691,0.063207034,5
10,256,257,50,100,2,3,0.555518164,0.550724638,0.42519685,0.675496689,0.059032997,0.062333403,5
10,258,259,50,100,2,3,0.544653984,0.540145985,0.412698413,0.684210526,0.053397899,0.046379562,5
10,260,261,50,100,2,3,0.545643259,0.550724638,0.387096774,0.657718121,0.054677152,0.047748792,5
10,262,263,50,100,2,3,0.551463752,0.550724638,0.4,0.666666667,0.055265913,0.060526638,5
10,264,265,50,100,2,3,0.550114487,0.550724638,0.42519685,0.692810458,0.055944531,0.060526638,5
10,266,267,50,100,2,3,0.541199036,0.540145985,0.360655738,0.692810458,0.059944518,0.061400839,5
10,268,269,50,100,2,3,0.551338606,0.540145985,0.412698413,0.757763975,0.060704443,0.046379562,5
10,270,271,50,100,2,3,0.54859084,0.550724638,0.347107438,0.684210526,0.057426545,0.047748792,5
10,272,273,50,100,2,3,0.553770062,0.561151079,0.4375,0.675496689,0.060174108,0.074070743,5
10,274,275,50,100,2,3,0.562264362,0.571428571,0.387096774,0.701298701,0.062758978,0.058833333,5
10,276,277,50,100,2,3,0.542124426,0.540145985,0.412698413,0.734177215,0.064390474,0.065094122,5
10,278,279,50,100,2,3,0.558850786,0.550724638,0.449612403,0.734177215,0.060229554,0.047748792,5
10,280,281,50,100,2,3,0.548262351,0.550724638,0.42519685,0.657718121,0.048714926,0.047748792,5
10,282,283,50,100,2,3,0.562910078,0.561151079,0.449612403,0.72611465,0.060547899,0.063207034,5
10,284,285,50,100,2,3,0.557743046,0.561151079,0.42519685,0.701298701,0.053117429,0.053363842,5
10,286,287,50,100,2,3,0.545221149,0.540145985,0.42519685,0.675496689,0.049608719,0.048456259,5
10,288,289,50,100,2,3,0.552599893,0.550724638,0.412698413,0.717948718,0.058632297,0.062333403,5
10,290,291,50,100,2,3,0.543137046,0.540145985,0.412698413,0.701298701,0.059331644,0.065094122,5
10,292,293,50,100,2,3,0.531386116,0.540145985,0.37398374,0.630136986,0.053422245,0.061400839,5
10,294,295,50,100,2,3,0.528837775,0.518518519,0.4,0.692810458,0.059205418,0.063207034,5
10,296,297,50,100,2,3,0.549609111,0.550724638,0.4,0.701298701,0.055797151,0.047748792,5
10,298,299,50,100,2,3,0.53994347,0.540145985,0.4,0.717948718,0.053817446,0.046379562,5
10,300,301,50,100,2,3,0.572962037,0.571428571,0.412698413,0.709677419,0.062645766,0.062294118,5
10,302,303,50,100,2,3,0.560179179,0.550724638,0.4,0.717948718,0.056284891,0.047748792,5
10,304,305,50,100,2,3,0.566316016,0.566289825,0.412698413,0.709677419,0.061612028,0.066452038,5
10,306,307,50,100,2,3,0.547556142,0.550724638,0.387096774,0.639455782,0.055861217,0.064140169,5
10,308,309,50,100,2,3,0.555104719,0.550724638,0.347107438,0.72611465,0.06367521,0.064140169,5
10,310,311,50,100,2,3,0.55031412,0.550724638,0.4,0.701298701,0.061423088,0.064140169,5
10,312,313,50,100,2,3,0.533849795,0.529411765,0.412698413,0.648648649,0.051629961,0.049179567,5
10,314,315,50,100,2,3,0.559176212,0.550724638,0.4,0.701298701,0.055733154,0.047748792,5
10,316,317,50,100,2,3,0.543042437,0.540145985,0.4,0.675496689,0.057763929,0.048456259,5
10,318,319,50,100,2,3,0.561298685,0.561151079,0.42519685,0.701298701,0.061412877,0.074070743,5
10,320,321,50,100,2,3,0.550742642,0.550724638,0.4,0.701298701,0.054834534,0.060526638,5
10,322,323,50,100,2,3,0.552662786,0.550724638,0.42519685,0.684210526,0.055686073,0.060526638,5
10,324,325,50,100,2,3,0.548227776,0.540145985,0.4,0.765432099,0.068021062,0.061400839,5
10,326,327,50,100,2,3,0.553195578,0.550724638,0.4375,0.692810458,0.049745352,0.047748792,5
10,328,329,50,100,2,3,0.547273612,0.540145985,0.4375,0.701298701,0.057031905,0.048456259,5
10,330,331,50,100,2,3,0.551732292,0.561151079,0.412698413,0.684210526,0.061243152,0.059670977,5
10,332,333,50,100,2,3,0.556859633,0.561151079,0.4375,0.742138365,0.063221143,0.059670977,5
10,334,335,50,100,2,3,0.551481812,0.550724638,0.42519685,0.734177215,0.059220272,0.060526638,5
10,336,337,50,100,2,3,0.5668713,0.566289825,0.412698413,0.780487805,0.06837151,0.066452038,5
10,338,339,50,100,2,3,0.557200472,0.561151079,0.4,0.742138365,0.064539663,0.063207034,5
